{'id': 1090, 'source_key': '04_主线原作台词/01_本地主线章节/主线剧情_最終編_第2章.txt', 'segment_index': 8, 'text': 'ニヤ 鼓掌。', 'extraction_run_id': 31}
{'id': 1374, 'source_key': '04_主线原作台词/01_本地主线章节/主线剧情_最終編_第3章.txt', 'segment_index': 11, 'text': 'リン 同意前往。', 'extraction_run_id': 33}
{'id': 2237, 'source_key': '04_主线原作台词/01_本地主线章节/主线剧情_第1篇_対策委員会編_第2章.txt', 'segment_index': 27, 'text': '老师拒绝了。', 'extraction_run_id': 39}
{'id': 4739, 'source_key': '04_主线原作台词/01_本地主线章节/主线剧情_第4篇_カルバノの兎編_第2章.txt', 'segment_index': 18, 'text': '市民 道歉。', 'extraction_run_id': 48}
{'id': 5672, 'source_key': '04_主线原作台词/02_最终篇关联作战与后日谈/活动剧情_event_821.txt', 'segment_index': 13, 'text': 'リン 保持沉默。', 'extraction_run_id': 52}
{'id': 5710, 'source_key': '04_主线原作台词/02_最终篇关联作战与后日谈/活动剧情_event_822.txt', 'segment_index': 2, 'text': 'モモカ感到庆幸。', 'extraction_run_id': 53}
{'id': 6469, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_804.txt', 'segment_index': 6, 'text': '老师表示了解。', 'extraction_run_id': 61}
{'id': 6508, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_804.txt', 'segment_index': 21, 'text': '老师答应了。', 'extraction_run_id': 61}
{'id': 6566, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_805.txt', 'segment_index': 8, 'text': '瞬到达了。', 'extraction_run_id': 63}
{'id': 6649, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_806.txt', 'segment_index': 7, 'text': '茜表示了解。', 'extraction_run_id': 64}
{'id': 6678, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_806.txt', 'segment_index': 15, 'text': '茜回答进度顺利。', 'extraction_run_id': 64}
{'id': 6709, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_806.txt', 'segment_index': 28, 'text': 'ネル觉得麻烦。', 'extraction_run_id': 64}
{'id': 7086, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_809.txt', 'segment_index': 15, 'text': 'アル称赞カヨコ。', 'extraction_run_id': 68}
{'id': 7171, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_803.txt', 'segment_index': 6, 'text': '鹤城发出战吼。', 'extraction_run_id': 70}
{'id': 7243, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_803.txt', 'segment_index': 31, 'text': '老师称赞了莲见。', 'extraction_run_id': 70}
{'id': 7298, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_811.txt', 'segment_index': 4, 'text': '若藻沉默回应。', 'extraction_run_id': 71}
{'id': 7312, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_811.txt', 'segment_index': 10, 'text': '老师感谢了セナ。', 'extraction_run_id': 71}
{'id': 7380, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_812.txt', 'segment_index': 22, 'text': '头盔团撤退了。', 'extraction_run_id': 72}
{'id': 7392, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_812.txt', 'segment_index': 27, 'text': '日向向老师求助。', 'extraction_run_id': 72}
{'id': 7418, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_812.txt', 'segment_index': 34, 'text': '忧在思考。', 'extraction_run_id': 72}
{'id': 7449, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_812.txt', 'segment_index': 50, 'text': '忧向日向求助。', 'extraction_run_id': 72}
{'id': 7561, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_813.txt', 'segment_index': 16, 'text': '满决定积极前进。', 'extraction_run_id': 73}
{'id': 7661, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_814.txt', 'segment_index': 8, 'text': '野宫沉默。', 'extraction_run_id': 74}
{'id': 7727, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_814.txt', 'segment_index': 35, 'text': '白子感到困惑。', 'extraction_run_id': 74}
{'id': 7741, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_814.txt', 'segment_index': 38, 'text': '白子说敌人来了。', 'extraction_run_id': 74}
{'id': 7756, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_814.txt', 'segment_index': 43, 'text': '野宫来吹风。', 'extraction_run_id': 74}
{'id': 7781, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_814.txt', 'segment_index': 53, 'text': '老师同意。', 'extraction_run_id': 74}
{'id': 7798, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_814.txt', 'segment_index': 55, 'text': 'ホシノ发出感叹。', 'extraction_run_id': 74}
